,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
49,,"mian de","2023-01-04 06:34:37",0,no,no,"바이든이 한미일 동맹 유럽 동맹하자해놓고 통수를 쳤어ㅋㅋㅋ 그럼 누가 미국을 믿고 동맹을 하냐ㅋㅋ돈도 못 받고 구라 사기 통수치는 레몬을 누가 글로벌 리더로 인정함? 아 똑같이 사기 통수치는 영국? ㅋㅋㅋ 이거로 바이든 때려 아주 노친네가 못돼쳐먹었드라",UCWy_lqUtg9p60pfqk4tR_ew,Ugx4WCrk8eFgymIgjyx4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugx4WCrk8eFgymIgjyx4AaABAg
50,,"Hoa Tu","2023-01-04 06:57:54",0,no,no,"Q has just sent out a message saying that Biden is the mastermind behind this rigged  speakership vote.

Q suggests Trump to call ""Georgia"" to find 20 votes (one more than the 19 votes Kev needed to be Speaker).",UCpfPf4gJasJ9LzOguFwikfQ,UgzSaM2OQBMdO_dZz4l4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzSaM2OQBMdO_dZz4l4AaABAg
51,,MVVpro,"2023-01-04 06:58:47",0,no,no,"So far the only ones Republicans have owned are themselves.",UCJUn5UZu0WMQjs3xLsRpQiA,UgxKeks9GQxuc1zC6Et4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxKeks9GQxuc1zC6Et4AaABAg
52,,"Hoa Tu","2023-01-04 06:59:51",0,no,no,"Popcorn price will be inflated !
MAGAGA (Newt Gingrich, Carl Rove, Bannon, Roger...) will blame the popcorn-inflation on Biden....again!)",UCpfPf4gJasJ9LzOguFwikfQ,UgxNAlK-NTXk_TKzKRp4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxNAlK-NTXk_TKzKRp4AaABAg
53,,Morpheus,"2023-01-04 07:17:17",0,no,no,"Vlad Putler’s instructions to Comrade Trumpsky: “Weaken every pillar of Democracy at all costs.”",UCoLXrlNzRyy3jWsWcNPpU6w,Ugy0KjgPJ8DhnSpfPCh4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugy0KjgPJ8DhnSpfPCh4AaABAg
54,,"Akindeko Olorunyomi","2023-01-04 07:21:09",0,no,no,"You are misleading & one sided in ur reporting, We will see doesn't mean he that his not supporting. That's a political correct statement. What if something changes at noon.",UCNai91h-EPB5cK1qY5Qr7HQ,UgzSrsEpGxLq-nY1wx14AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzSrsEpGxLq-nY1wx14AaABAg
55,,"Kevin Poole","2023-01-04 07:22:09",1,no,no,"The “Republicans have nothing to show for it [their first day in control of the House].” Au contraire! They’ve shown the American people exactly who they are in astonishing, shocking, stark relief: a gaggle of squawking, self-serving demagogues, mugging for the cameras, jostling for pride of place, screeching silly sound bites, all the while pretending to serve and govern and balance the budget and close the border (and most importantly—unspoken, of course—keep the people, industries, and interests, domestic and foreign, that have purchased their positions happy). A great show, indeed! Certainly one for the history books—and this is just Act One!!! Please pass the popcorn. 
🍿❄️🍿❄️🍿❄️🍿",UCKDoEhZV9WU0hvWanubhzHA,Ugz3ZwG1TK0P5aactjt4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=Ugz3ZwG1TK0P5aactjt4AaABAg
56,,"Akindeko Olorunyomi","2023-01-04 07:24:01",0,no,no,"Why sud republican join with democrats, why can't democrats join with republicans?",UCNai91h-EPB5cK1qY5Qr7HQ,UgxkCMkoQrXJhaq1Uu14AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgxkCMkoQrXJhaq1Uu14AaABAg
57,,cx23,"2023-01-04 07:26:05",0,no,no,"Drump single handedly destroyed the GQP and McCarthy 's political career. Thank you Donald Drump",UCZ5RocHZG7Yf2KDm76tJEGg,UgyAVt3R6KPiQK_0vlh4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgyAVt3R6KPiQK_0vlh4AaABAg
58,,"Ryan McKenzie","2023-01-04 07:42:33",0,no,no,"Trump's GOP? Duh! Winning!",UCfkNclTwP8nq4e3eAfTBEMg,UgzsBSTSdSqT0y6ZOAN4AaABAg,https://www.youtube.com/watch?v=XW2V9tMMnUQ&lc=UgzsBSTSdSqT0y6ZOAN4AaABAg
