,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
54,,Arif,"2022-12-19 14:14:51",0,no,no,"Tak apa di landa banjir .Kita harus bersyukur bila tuhan hantar air .nanti tahun ke depan akan di landa kemarau panjang ..sebab sudah di sebut dalam Al-Qu'ran dan hadits ..yang penting siapkan makanan secukupnya ..",UCsvyfRkEPCEx409tU7_zrmg,Ugyh2v3cZcoiR3jd3g54AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugyh2v3cZcoiR3jd3g54AaABAg
55,,"Faris Fikri","2022-12-19 15:49:53",0,no,no,"BERHENTI MENGHINA! Ada orang tgh diuji dengan dugaan, mereka2 itu orang bukan binatang, manusia jugak macam kamu, Ya Allah maha Esa, hati manusia memang tunjuk perangai ahli neraka, bila tidak kena pada diri, senang menghina & mengutuk",UCW-tOZ_AkrS0tjiVrHPYMTA,Ugyth9eZy9TBMYyg7IR4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugyth9eZy9TBMYyg7IR4AaABAg
56,,"Malaya Vintage Channel","2022-12-19 17:40:29",3,no,no,"Doakan agar semua berada dalam keadaan selamat🙏",UCbdtjuXvW9C6jCOSyy5Ly0A,UgxtN7Cn9mBVSzBEVzh4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxtN7Cn9mBVSzBEVzh4AaABAg
57,,"knowledge wisdom","2022-12-19 18:22:37",0,no,no,"Teringat kisah nabi nuh naik kapal bersama penggikutnya",UC6sWQgto2G4oMe-NCDSefmw,UgwAgNZR0L9Vu0pHz-14AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwAgNZR0L9Vu0pHz-14AaABAg
58,,"lekslu lekslu","2022-12-19 19:07:32",2,no,no,"Kalo kena banjir kat selangor puak2 Ph akan hentam  kerajaan pusat...kena kat pantai timur diorang akan hentam kerajaan negeri...Pasal bencana pun macai2 sibuk berpolitik lagi.",UCWNoq6QltARgfFz9AFsdFYw,UgxrJl50XGiTr5H_PJh4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxrJl50XGiTr5H_PJh4AaABAg
59,,"anga angah","2022-12-19 23:41:31",1,no,no,"Bertabahlah...aku akan sentiasa doakan daripada sini. Redha pada DIA. Insya-Allah...ada hikmah untuk segala-gala. Moga DIA memberkati kita di dunia dan di akhirat sana. INSYAALLAH. Amin. Salam dari Pahang. #ALLAHada.",UCkEJ8VOc7HVXSNE5oeivhmA,UgxBcSY0QtcD_tImOaJ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxBcSY0QtcD_tImOaJ4AaABAg
60,,"Hazahal Ahmad","2022-12-20 00:26:55",3,no,no,"Ya allah kau selamatkan lah mereka2 yg terjejas teruk dgn banjir ini🤲🇸🇬",UCOrurbvc0FwgPbb4RVHI_WQ,UgwPCpdh1aj7_V6Rt554AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgwPCpdh1aj7_V6Rt554AaABAg
61,,"Natchatraa Devi","2022-12-20 00:38:12",0,no,no,"Mana pemimpin yang kamu undi...",UCx2pUdRJQ4cj80obWZNwAhQ,UgzuvTrTIJOZu4AEz9l4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzuvTrTIJOZu4AEz9l4AaABAg
62,,gunmetal24,"2022-12-20 04:24:30",3,no,no,"I pray that the situation will get better for those affected by the flood.",UCJE2Umj5ysxgDon-JWb0bGg,UgyOTsgFdw7DOfejUZh4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyOTsgFdw7DOfejUZh4AaABAg
63,,"MOCHAMMAD ILHAM RIFAI","2022-12-20 06:01:29",0,no,no,"Guys nak tanya knp every year kat ganu or kelantan ni selalunya banjir?",UCL8iulle68JCme0VvFvC7fg,UgzgJWK2cPNNH-mMnlB4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgzgJWK2cPNNH-mMnlB4AaABAg
64,,"Abdlatib Ismail","2022-12-20 07:07:49",0,no,no,"Jaga keselamatan diri",UCnvt1Q4uSsiulew8F9RL9lw,UgyKNLTdGzw5L0lldOl4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyKNLTdGzw5L0lldOl4AaABAg
65,,"Annonymous Smartass","2022-12-20 07:28:20",1,no,no,"😨 omg !!! 😭😭😭😭😭 .",UC1wdnkh0cz37yhpU_Dt78cw,Ugzl1Rtp-ATyvm3BclV4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=Ugzl1Rtp-ATyvm3BclV4AaABAg
66,,"Rahizam Rahizam","2022-12-20 08:46:59",0,no,no,"Ya Allah",UCE1_OxwPc3AtrgmO9olmQsg,UgyNU5xIvbBkIcQAzGJ4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgyNU5xIvbBkIcQAzGJ4AaABAg
67,,"Hazmi Normah","2022-12-20 09:07:40",0,no,no,"Harap warga /saudara d kelantan bebanyak bersabar...semoga d pelihara keselamatan oleh allah n d permudahkan segala urusan n d percepat surutnya air banjir.
Insya allah.",UCWA61iUCa4IyaT6GThmLwIw,UgxDn3gaXk0g1Cduk0h4AaABAg,https://www.youtube.com/watch?v=K8YAmPLrsh8&lc=UgxDn3gaXk0g1Cduk0h4AaABAg
